denominazione_regione,data,mean,median,mode,lower_90,upper_90,lower_50,upper_50
Piemonte,2020-02-14,2.3233010573111623,2.30981960251461,2.285,2.2810834509846867,2.299696233779254,2.1851663806672623,2.365531140011145
Piemonte,2020-02-15,2.3219238292492643,2.3230519883665686,2.255,2.318100588265021,2.3431739012040556,2.2508047781542855,2.4319099870770216
Piemonte,2020-02-16,2.318966807826437,2.3223568575150333,2.255,2.2402273659946577,2.260645131567543,2.2553806620710293,2.434663903353628
Piemonte,2020-02-17,2.309656109743265,2.311911198269846,2.235,2.299710504108702,2.3222279250853064,2.224034110044432,2.3778180199648045
Piemonte,2020-02-18,2.310171865791465,2.306111848258669,2.3649999999999998,2.3612016258225985,2.384730678241854,2.211892546823468,2.3679626085261054
Piemonte,2020-02-19,2.310687277322636,2.3127352411161635,2.315,2.3115440919123684,2.3308239952180285,2.2431166941030845,2.3864018764198214
Piemonte,2020-02-20,2.301309607957206,2.31274904723169,2.255,2.372349839691185,2.3887904537208455,2.2510373460852873,2.3930195819978266
Piemonte,2020-02-21,2.2931264406756715,2.2939367646391746,2.225,2.2206546744484523,2.2369053084969277,2.224722966699712,2.3523154996309037
Piemonte,2020-02-22,2.282383676222348,2.286607697690088,2.245,2.3074005969309264,2.3257128148018262,2.2254927932650896,2.34561598561056
Piemonte,2020-02-23,2.26863673718271,2.2774719271517982,2.245,2.3038779661734106,2.3165168031964782,2.227234017215599,2.3250264260657745
Piemonte,2020-02-24,2.247523286000984,2.246900508300447,2.225,2.216881877764958,2.2298522877836815,2.216881877764958,2.3095125094389037
Piemonte,2020-02-25,2.2225313053970472,2.2239432362234126,2.225,2.1611798180585815,2.1756976952048,2.1611798180585815,2.257771047512231
Piemonte,2020-02-26,2.195081514477657,2.186135901440255,2.185,2.222157586318548,2.231781521434961,2.149658490092806,2.231781521434961
Piemonte,2020-02-27,2.1635706529955634,2.1548803140430075,2.145,2.140026081250016,2.150697515253907,2.1138958399616037,2.1924797531759155
Piemonte,2020-02-28,2.1176694513407956,2.1117904584497875,2.045,2.0382703336910803,2.04866105362159,2.0382703336910803,2.116657683845394
Piemonte,2020-02-29,2.0623963559371727,2.056814903243538,2.065,2.0142176541099186,2.0233756181867357,1.9987983711520703,2.0755431747555093
Piemonte,2020-03-01,2.0124823792421296,2.003964811739092,2.035,2.029397581517791,2.037923334019603,1.9509601676908876,2.035098198347052
Piemonte,2020-03-02,1.9522231741920644,1.9502143375460876,1.9249999999999998,1.9234608682918597,1.9328650184900509,1.8909883018739966,1.9666202855211308
Piemonte,2020-03-03,1.889350968305298,1.8799342544492346,1.845,1.8694693933333282,1.8807626311361472,1.8412127281961488,1.917815943336525
Piemonte,2020-03-04,1.8254797021464337,1.8252957583195786,1.835,1.834792579231378,1.8418931969574999,1.7898331478722662,1.858947359444394
Piemonte,2020-03-05,1.7570308154905714,1.7611943708141968,1.765,1.7613359278451166,1.7672151457380756,1.719129606946388,1.7864381007518886
Piemonte,2020-03-06,1.689740730438959,1.6908759615688698,1.665,1.6658528357011273,1.6719004788886753,1.6658528357011273,1.7312376725484424
Piemonte,2020-03-07,1.6181734250820528,1.6226411160973977,1.625,1.6494260969055297,1.6561432363760582,1.5901725409666563,1.6506356670392166
Piemonte,2020-03-08,1.5510720475634114,1.551180359264991,1.565,1.5623093036837854,1.5667936959267463,1.5199570575873504,1.5680702625827565
Piemonte,2020-03-09,1.4860673748669613,1.4855305464263269,1.4649999999999999,1.4631261211695545,1.4708067945689,1.463764709303614,1.5165321145088548
Piemonte,2020-03-10,1.426265116588042,1.4271709987201693,1.4249999999999998,1.427653460564367,1.4348242034350758,1.4059725559147993,1.4566103643737773
Piemonte,2020-03-11,1.3685810188493015,1.3672093754159498,1.345,1.3721507453640684,1.3784414207450293,1.3348647528253557,1.3836855246895854
Piemonte,2020-03-12,1.3162599444807102,1.312439614053298,1.285,1.3053756286204405,1.3128732953884719,1.2728699479470442,1.3255249387398722
Piemonte,2020-03-13,1.2684814306948953,1.2687603931238085,1.295,1.290221332503082,1.2974004322864137,1.2573555234650238,1.3079205770475866
Piemonte,2020-03-14,1.2192849476638024,1.2239832669036619,1.2249999999999999,1.2266438409829163,1.231194371133346,1.193981965980087,1.2340291446567613
Piemonte,2020-03-15,1.1795186998420983,1.1809501189886482,1.1849999999999998,1.1790161298914943,1.1827002006674436,1.1630770767850995,1.2027959912915938
Piemonte,2020-03-16,1.1401188323321654,1.1395117715717913,1.135,1.1490136650608453,1.1536376276899278,1.1135772110331308,1.1536376276899278
Piemonte,2020-03-17,1.108871435262903,1.106154806674943,1.095,1.0921424101587285,1.097078017627744,1.0861786362742323,1.1243739845421235
Piemonte,2020-03-18,1.07846987904782,1.0798834388167615,1.095,1.090246751632093,1.0951782193711472,1.061244058584804,1.0968848921858891
Piemonte,2020-03-19,1.052625098514228,1.0545747543938333,1.055,1.0542985253350339,1.0591024066265555,1.0371435786096306,1.0752839310288904
Piemonte,2020-03-20,1.0284795562591187,1.0278786537314066,1.015,1.0175056696837808,1.0234261541533631,1.0101936888165854,1.0473473479869275
Piemonte,2020-03-21,1.007570447840901,1.0039047829092111,0.995,0.9952218765766012,0.9987752582437383,0.982494851868016,1.0186665289708805
Piemonte,2020-03-22,0.9880271025382396,0.989716682708861,0.985,0.9872995785602465,0.9932067769569377,0.9782543954212171,1.0156203445145429
Piemonte,2020-03-23,0.9692850324238879,0.9712118536690455,0.975,0.9694220091092747,0.9730322163387679,0.9492409490822102,0.9835925281673241
Piemonte,2020-03-24,0.9496774494638843,0.9503553137889694,0.9550000000000001,0.9478507819121424,0.9526106954720829,0.9264693308665859,0.9614168920723023
Piemonte,2020-03-25,0.9333472139292133,0.9333768170722692,0.935,0.9329719324633348,0.937119603899141,0.9208435771354582,0.9503296498558801
Piemonte,2020-03-26,0.9168076272943764,0.9145482480041357,0.905,0.919276283342496,0.9234574405285902,0.8955221966311303,0.9235121668811337
Piemonte,2020-03-27,0.9032273264588491,0.9016613175380446,0.895,0.8949030105885023,0.8981554324323082,0.8839915423255336,0.9141099629312401
Piemonte,2020-03-28,0.8882682082654819,0.8884322445392658,0.905,0.9010529627731481,0.9034917775940647,0.8723609675452325,0.9034917775940647
Piemonte,2020-03-29,0.8733148123846978,0.872521867010895,0.865,0.8700916669788289,0.8752402846059781,0.8610234227339735,0.8955126851094833
Piemonte,2020-03-30,0.8590298556249691,0.8573449652749263,0.855,0.8511208962250381,0.853631631986803,0.8493941624950261,0.8800588833997665
Piemonte,2020-03-31,0.8449025102758031,0.8443659890478689,0.845,0.849895904938197,0.8535857044839104,0.8280486669685181,0.8564733739718428
Piemonte,2020-04-01,0.8326734580519533,0.8324675413649496,0.8350000000000001,0.8228732356486024,0.8269041283105489,0.809026288079945,0.840462062922419
Piemonte,2020-04-02,0.8198073496283379,0.8174699065348818,0.8150000000000001,0.8105661127684489,0.8137744367320203,0.8057344068894348,0.8329193721546608
Piemonte,2020-04-03,0.8078765900280693,0.8060677884423321,0.795,0.7936504901610038,0.7966318375982405,0.7928118667528379,0.820942046423904
Piemonte,2020-04-04,0.795976462904286,0.7965453452045098,0.795,0.7995823916437848,0.8038092311497571,0.7748602756413107,0.8038092311497571
Piemonte,2020-04-05,0.7837373092907618,0.7832102760281865,0.785,0.7809108385367666,0.7849284727024368,0.7642923642635902,0.7938804513407047
Piemonte,2020-04-06,0.7711048280836131,0.7699324823570978,0.765,0.7714292820379233,0.7746978038498464,0.7463289266810085,0.7766599429277229
Piemonte,2020-04-07,0.7582070401019267,0.7562363294359141,0.755,0.7551811653767905,0.7589897261338705,0.7370105161498894,0.7656163409694152
Piemonte,2020-04-08,0.7472657771161243,0.7442378396885962,0.745,0.7470379322587926,0.749862236621704,0.7281878170597827,0.7510373788195212
Piemonte,2020-04-09,0.7370133646448861,0.7349288768510523,0.735,0.7321035195499238,0.7350157147402403,0.7273772064974673,0.751869054246324
Piemonte,2020-04-10,0.7290203418246467,0.7283099060237694,0.725,0.7244114911279894,0.7282180019718953,0.7205196690816099,0.7484273329344077
Piemonte,2020-04-11,0.7200133516982,0.7186609950880191,0.715,0.7179653792868828,0.7206337745151198,0.7077313328716356,0.7305957207169731
Piemonte,2020-04-12,0.711714466880884,0.7119369555589102,0.7050000000000001,0.7122225374551382,0.7151612559489654,0.692924070093742,0.7175167370458584
Piemonte,2020-04-13,0.7048658506454231,0.7056101201144787,0.7050000000000001,0.7048366050866258,0.7066752381277192,0.6900896593552271,0.7148319748187608
Piemonte,2020-04-14,0.6980282382532197,0.6990264938564545,0.6950000000000001,0.6978866357111934,0.7003277876321394,0.6893661467850747,0.7144524543817466
Piemonte,2020-04-15,0.6922477582887424,0.6926050374861739,0.7050000000000001,0.6987957337305816,0.7025894483593336,0.6773571469801583,0.7032111653608797
Piemonte,2020-04-16,0.6868223294205691,0.6868009429583681,0.685,0.6854179333209963,0.6881967147359338,0.6732696845674937,0.702440899329324
Piemonte,2020-04-17,0.6814594807753708,0.679627338371206,0.675,0.6691493700179778,0.6725278100748967,0.6691493700179778,0.6968313742239056
Piemonte,2020-04-18,0.6778536478907725,0.6762920424586358,0.675,0.6733053520721741,0.6764359497794981,0.6576402835708444,0.6839285806013824
Piemonte,2020-04-19,0.6757807436246949,0.6740415325528396,0.675,0.6627445269309039,0.6659898808986888,0.6629467838140687,0.6866501649275054
Piemonte,2020-04-20,0.6751389408937365,0.6735409969492412,0.675,0.6692532087012486,0.6721475560928438,0.6576807999022825,0.6824231615626184
Piemonte,2020-04-21,0.6751427992753914,0.6739656701696678,0.675,0.6631843152725737,0.6671212596040859,0.6631843152725737,0.6908676352044183
Piemonte,2020-04-22,0.6746551960189094,0.675329301394713,0.675,0.675033929837033,0.677401640291435,0.6669375859624174,0.6894443414900338
Piemonte,2020-04-23,0.6747014272661315,0.6737309735806818,0.675,0.6714834474747639,0.6740245572049464,0.6619094934965416,0.6856208188656526
